rank,pred,label,id,Conference,Year,Title,Link,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_02-2020,AminerCitationCount_06-2020,XploreCitationCount - 2020-01,PubsCited,Award
41,0.628422,0,139,InfoVis,2006,Measuring Data Abstraction Quality in Multiresolution Visualizations,http://dx.doi.org/10.1109/TVCG.2006.161,"Data abstraction techniques are widely used in multiresolution visualization systems to reduce visual clutter and facilitate analysis from overview to detail. However, analysts are usually unaware of how well the abstracted data represent the original dataset, which can impact the reliability of results gleaned from the abstractions. In this paper, we define two data abstraction quality measures for computing the degree to which the abstraction conveys the original dataset: the histogram difference measure and the nearest neighbor measure. They have been integrated within XmdvTool, a public-domain multiresolution visualization system for multivariate data analysis that supports sampling as well as clustering to simplify data. Several interactive operations are provided, including adjusting the data abstraction level, changing selected regions, and setting the acceptable data abstraction quality level. Conducting these operations, analysts can select an optimal data abstraction level. Also, analysts can compare different abstraction methods using the measures to see how well relative data density and outliers are maintained, and then select an abstraction method that meets the requirement of their analytic tasks",Qingguang Cui;Matthew O. Ward;Elke A. Rundensteiner;Jing Yang 0001,Qingguang Cui;Matthew Ward;Elke Rundensteiner;Jing Yang,"Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA 01609;Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA 01609;Worcester Polytechnic Institute, 100 Institute Road, Worcester, MA 01609;University of North Carolina at Charlotte, 9201 University City Blvd, Charlotte, NC 28223",10.1109/INFVIS.2004.19;10.1109/VISUAL.2005.1532819;10.1109/INFVIS.2004.15;10.1109/VISUAL.1995.485139;10.1109/INFVIS.2000.885088,"Metrics, Clustering, Sampling, Multiresolution Visualization",55.0,0.0,46.0,28.0,
42,0.6283047,0,496,SciVis,2012,Interactive Volume Exploration of Petascale Microscopy Data Streams Using a Visualization-Driven Virtual Memory Approach,http://dx.doi.org/10.1109/TVCG.2012.240,"This paper presents the first volume visualization system that scales to petascale volumes imaged as a continuous stream of high-resolution electron microscopy images. Our architecture scales to dense, anisotropic petascale volumes because it: (1) decouples construction of the 3D multi-resolution representation required for visualization from data acquisition, and (2) decouples sample access time during ray-casting from the size of the multi-resolution hierarchy. Our system is designed around a scalable multi-resolution virtual memory architecture that handles missing data naturally, does not pre-compute any 3D multi-resolution representation such as an octree, and can accept a constant stream of 2D image tiles from the microscopes. A novelty of our system design is that it is visualization-driven: we restrict most computations to the visible volume data. Leveraging the virtual memory architecture, missing data are detected during volume ray-casting as cache misses, which are propagated backwards for on-demand out-of-core processing. 3D blocks of volume data are only constructed from 2D microscope image tiles when they have actually been accessed during ray-casting. We extensively evaluate our system design choices with respect to scalability and performance, compare to previous best-of-breed systems, and illustrate the effectiveness of our system for real microscopy data from neuroscience.",Markus Hadwiger;Johanna Beyer;Won-Ki Jeong;Hanspeter Pfister,Markus Hadwiger;Johanna Beyer;Won-Ki Jeong;Hanspeter Pfister,"King Adbullah University of Science and Technology, Saudi Arabia;King Adbullah University of Science and Technology, Saudi Arabia;UNIST;Harvard University",10.1109/VISUAL.1999.809908;10.1109/VISUAL.2003.1250384;10.1109/TVCG.2009.161,"Petascale volume exploration, high-resolution microscopy, high-throughput imaging, neuroscience",42.0,51.0,41.0,31.0,HM
43,0.6273888,0,997,SciVis,2016,Categorical Colormap Optimization with Visualization Case Studies,http://dx.doi.org/10.1109/TVCG.2016.2599214,"Mapping a set of categorical values to different colors is an elementary technique in data visualization. Users of visualization software routinely rely on the default colormaps provided by a system, or colormaps suggested by software such as ColorBrewer. In practice, users often have to select a set of colors in a semantically meaningful way (e.g., based on conventions, color metaphors, and logological associations), and consequently would like to ensure their perceptual differentiation is optimized. In this paper, we present an algorithmic approach for maximizing the perceptual distances among a set of given colors. We address two technical problems in optimization, i.e., (i) the phenomena of local maxima that halt the optimization too soon, and (ii) the arbitrary reassignment of colors that leads to the loss of the original semantic association. We paid particular attention to different types of constraints that users may wish to impose during the optimization process. To demonstrate the effectiveness of this work, we tested this technique in two case studies. To reach out to a wider range of users, we also developed a web application called Colourmap Hospital.",Hui Fang;Simon J. Walton;E. Delahaye;J. Harris;D. A. Storchak;Min Chen 0001,H. Fang;S. Walton;E. Delahaye;J. Harris;D. A. Storchak;M. Chen,"University of Oxford and International Seismological Centre;University of Oxford, UK;International Seismological Centre, UK;International Seismological Centre, UK;International Seismological Centre, UK;University of Oxford, UK",10.1109/VISUAL.1996.568118;10.1109/TVCG.2014.2346978;10.1109/TVCG.2008.112;10.1109/VISUAL.1995.480803;10.1109/TVCG.2010.150;10.1109/VISUAL.2002.1183788;10.1109/TVCG.2008.118,London tube map;Color;categorical colormap;optimization;seismological data visualization,1.0,5.0,6.0,53.0,
44,0.6265651,0,690,SciVis,2014,Advection-Based Sparse Data Management for Visualizing Unsteady Flow,http://dx.doi.org/10.1109/TVCG.2014.2346418,"When computing integral curves and integral surfaces for large-scale unsteady flow fields, a major bottleneck is the widening gap between data access demands and the available bandwidth (both I/O and in-memory). In this work, we explore a novel advection-based scheme to manage flow field data for both efficiency and scalability. The key is to first partition flow field into blocklets (e.g. cells or very fine-grained blocks of cells), and then (pre)fetch and manage blocklets on-demand using a parallel key-value store. The benefits are (1) greatly increasing the scale of local-range analysis (e.g. source-destination queries, streak surface generation) that can fit within any given limit of hardware resources; (2) improving memory and I/O bandwidth-efficiencies as well as the scalability of naive task-parallel particle advection. We demonstrate our method using a prototype system that works on workstation and also in supercomputing environments. Results show significantly reduced I/O overhead compared to accessing raw flow data, and also high scalability on a supercomputer for a variety of applications.",Hanqi Guo;Jiang Zhang;Richen Liu;Lu Liu;Xiaoru Yuan;Jian Huang 0007;Xiangfei Meng;Jingshan Pan,Hanqi Guo;Jiang Zhang;Richen Liu;Lu Liu;Xiaoru Yuan;Jian Huang;Xiangfei Meng;Jingshan Pan,"Key Laboratory of Machine Perception (Ministry of Education), School of EECS;Key Laboratory of Machine Perception (Ministry of Education), School of EECS;Key Laboratory of Machine Perception (Ministry of Education), School of EECS;Key Laboratory of Machine Perception (Ministry of Education), School of EECS;Key Laboratory of Machine Perception (Ministry of Education), School of EECS;Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville;National Supercomputer Center in Tianjin, Binhai, Tianjin, China;National Supercomputer Center in Jinan, Shandong, China",10.1109/TVCG.2009.154;10.1109/TVCG.2011.219;10.1109/VISUAL.1997.663898;10.1109/TVCG.2013.144;10.1109/TVCG.2013.128;10.1109/TVCG.2007.70551,"Flow visualization, Data management, High performance visualization, Key-value store",9.0,14.0,12.0,37.0,
45,0.6260313,0,246,InfoVis,2008,Rolling the Dice: Multidimensional Visual Exploration using Scatterplot Matrix Navigation,http://dx.doi.org/10.1109/TVCG.2008.153,"Scatterplots remain one of the most popular and widely-used visual representations for multidimensional data due to their simplicity, familiarity and visual clarity, even if they lack some of the flexibility and visual expressiveness of newer multidimensional visualization techniques. This paper presents new interactive methods to explore multidimensional data using scatterplots. This exploration is performed using a matrix of scatterplots that gives an overview of the possible configurations, thumbnails of the scatterplots, and support for interactive navigation in the multidimensional space. Transitions between scatterplots are performed as animated rotations in 3D space, somewhat akin to rolling dice. Users can iteratively build queries using bounding volumes in the dataset, sculpting the query from different viewpoints to become more and more refined. Furthermore, the dimensions in the navigation space can be reordered, manually or automatically, to highlight salient correlations and differences among them. An example scenario presents the interaction techniques supporting smooth and effortless visual exploration of multidimensional datasets.",Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete,Niklas Elmqvist;Pierre Dragicevic;Jean-Daniel Fekete,,10.1109/TVCG.2007.70515;10.1109/VAST.2007.4389013;10.1109/TVCG.2007.70577;10.1109/VISUAL.1990.146386;10.1109/VAST.2006.261452;10.1109/INFVIS.2005.1532136;10.1109/VISUAL.1994.346302;10.1109/INFVIS.1998.729559;10.1109/VISUAL.1995.485139;10.1109/INFVIS.2003.1249016;10.1109/INFVIS.2000.885086;10.1109/INFVIS.2004.3;10.1109/INFVIS.2004.64;10.1109/TVCG.2007.70539;10.1109/INFVIS.2004.15,"Visual exploration, visual queries, visual analytics, navigation, multivariate data, interaction",251.0,285.0,174.0,42.0,BP
46,0.6249337,0,417,InfoVis,2011,Product Plots,http://dx.doi.org/10.1109/TVCG.2011.227,"We propose a new framework for visualising tables of counts, proportions and probabilities. We call our framework product plots, alluding to the computation of area as a product of height and width, and the statistical concept of generating a joint distribution from the product of conditional and marginal distributions. The framework, with extensions, is sufficient to encompass over 20 visualisations previously described in fields of statistical graphics and infovis, including bar charts, mosaic plots, treemaps, equal area plots and fluctuation diagrams.",Hadley Wickham;Heike Hofmann,Hadley Wickham;Heike Hofmann,Rice University;Iowa State University,10.1109/TVCG.2007.70594;10.1109/TVCG.2006.200;10.1109/INFVIS.2002.1173141;10.1109/INFVIS.2000.885091;10.1109/VISUAL.1990.146386;10.1109/TVCG.2010.186;10.1109/INFVIS.2005.1532128;10.1109/INFVIS.2005.1532142;10.1109/TVCG.2010.209;10.1109/TVCG.2009.128;10.1109/INFVIS.2005.1532145,"Statistics, joint distribution, conditional distribution, treemap, bar chart, mosaic plot",26.0,30.0,22.0,52.0,
47,0.6228132,0,1020,SciVis,2017,Dynamic Load Balancing Based on Constrained K-D Tree Decomposition for Parallel Particle Tracing,http://dx.doi.org/10.1109/TVCG.2017.2744059,"We propose a dynamically load-balanced algorithm for parallel particle tracing, which periodically attempts to evenly redistribute particles across processes based on k-d tree decomposition. Each process is assigned with (1) a statically partitioned, axis-aligned data block that partially overlaps with neighboring blocks in other processes and (2) a dynamically determined k-d tree leaf node that bounds the active particles for computation; the bounds of the k-d tree nodes are constrained by the geometries of data blocks. Given a certain degree of overlap between blocks, our method can balance the number of particles as much as possible. Compared with other load-balancing algorithms for parallel particle tracing, the proposed method does not require any preanalysis, does not use any heuristics based on flow features, does not make any assumptions about seed distribution, does not move any data blocks during the run, and does not need any master process for work redistribution. Based on a comprehensive performance study up to 8K processes on a Blue Gene/Q system, the proposed algorithm outperforms baseline approaches in both load balance and scalability on various flow visualization and analysis problems.",Jiang Zhang;Hanqi Guo;Fan Hong;Xiaoru Yuan;Tom Peterka,Jiang Zhang;Hanqi Guo;Fan Hong;Xiaoru Yuan;Tom Peterka,"Ministry of EducationKey Laboratory of Machine PerceptionSchool of EECSPeking University;Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, IL, USA;Ministry of EducationKey Laboratory of Machine PerceptionSchool of EECSPeking University;Ministry of EducationKey Laboratory of Machine PerceptionSchool of EECSPeking University;Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, IL, USA",10.1109/TVCG.2013.128;10.1109/TVCG.2007.70551;10.1109/TVCG.2013.144;10.1109/TVCG.2011.219;10.1109/VISUAL.1997.663898;10.1109/TVCG.2017.2744059,"Parallel particle tracing,dynamic load balancing,k-d trees,performance analysis",1.0,5.0,5.0,37.0,
48,0.6215063,0,27,InfoVis,1999,Cushion treemaps: visualization of hierarchical information,http://dx.doi.org/10.1109/INFVIS.1999.801860,"A new method is presented for the visualization of hierarchical information, such as directory structures and organization structures. Cushion treemaps inherit the elegance of standard treemaps: compact, space-filling displays of hierarchical information, based on recursive subdivision of a rectangular image space. Intuitive shading is used to provide insight in the hierarchical structure. During the subdivision, ridges are added per rectangle, which are rendered with a simple shading model. The result is a surface that consists of recursive cushions. The method is efficient, effective, easy to use and implement, and has a wide applicability.",Jarke J. van Wijk;Huub van de Wetering,J.J. Van Wijk;H. Van de Wetering,"Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Netherlands",10.1109/VISUAL.1991.175815,"Information Visualization, Tree Visualization, Treemaps",186.0,211.0,81.0,11.0,
49,0.61642003,0,585,VAST,2013,Explainers: Expert Explorations with Crafted Projections,http://dx.doi.org/10.1109/TVCG.2013.157,"This paper introduces an approach to exploration and discovery in high-dimensional data that incorporates a user's knowledge and questions to craft sets of projection functions meaningful to them. Unlike most prior work that defines projections based on their statistical properties, our approach creates projection functions that align with user-specified annotations. Therefore, the resulting derived dimensions represent concepts defined by the user's examples. These especially crafted projection functions, or explainers, can help find and explain relationships between the data variables and user-designated concepts. They can organize the data according to these concepts. Sets of explainers can provide multiple perspectives on the data. Our approach considers tradeoffs in choosing these projection functions, including their simplicity, expressive power, alignment with prior knowledge, and diversity. We provide techniques for creating collections of explainers. The methods, based on machine learning optimization frameworks, allow exploring the tradeoffs. We demonstrate our approach on model problems and applications in text analysis.",Michael Gleicher,Michael Gleicher,"Department of Computer Sciences, University of Wisconsin - Madison",10.1109/VAST.2012.6400487;10.1109/VAST.2012.6400486;10.1109/TVCG.2012.277;10.1109/INFVIS.2005.1532142;10.1109/INFVIS.2004.71;10.1109/TVCG.2012.256;10.1109/VAST.2010.5652392;10.1109/VAST.2012.6400490;10.1109/TVCG.2011.220;10.1109/INFVIS.1998.729559;10.1109/VAST.2011.6102448;10.1109/TVCG.2009.153,"High-dimensional spaces, exploration, support vector machines",27.0,39.0,26.0,51.0,HM
50,0.6162555,0,414,InfoVis,2011,Local Affine Multidimensional Projection,http://dx.doi.org/10.1109/TVCG.2011.220,"Multidimensional projection techniques have experienced many improvements lately, mainly regarding computational times and accuracy. However, existing methods do not yet provide flexible enough mechanisms for visualization-oriented fully interactive applications. This work presents a new multidimensional projection technique designed to be more flexible and versatile than other methods. This novel approach, called Local Affine Multidimensional Projection (LAMP), relies on orthogonal mapping theory to build accurate local transformations that can be dynamically modified according to user knowledge. The accuracy, flexibility and computational efficiency of LAMP is confirmed by a comprehensive set of comparisons. LAMP's versatility is exploited in an application which seeks to correlate data that, in principle, has no connection as well as in visual exploration of textual documents.",Paulo Joia;Danilo Barbosa Coimbra;José Alberto Cuminato;Fernando Vieira Paulovich;Luis Gustavo Nonato,Paulo Joia;Danilo Coimbra;Jose A. Cuminato;Fernando V. Paulovich;Luis G. Nonato,Universidade de S&#x0E3;o Paulo (USP);Universidade de S&#x0E3;o Paulo (USP);Universidade de S&#x0E3;o Paulo (USP);Universidade de S&#x0E3;o Paulo (USP);Universidade de S&#x0E3;o Paulo (USP),10.1109/VISUAL.1996.567787;10.1109/TVCG.2009.140;10.1109/TVCG.2007.70580;10.1109/INFVIS.2002.1173159;10.1109/TVCG.2010.207;10.1109/TVCG.2010.170;10.1109/INFVIS.2002.1173161,"Multidimensional Projection, High Dimensional Data, Visual Data Mining",84.0,0.0,98.0,36.0,HM
